Click_Y,Y_Top,Y_Bottom,Dist_Y_Top,Dist_Y_Bottom, Accuracy, Gap
312.2,236,376,76.2,63.8,0.7,0.7
236.2,83,223,153.2,-13.2,0.2,0.7
479.8,356,496,123.8,16.2,0.6,0.7
540.8,495,635,45.8,94.2,0.3,0.7
399.4,343,483,56.4,83.6,0.4,0.7
515.4,412,552,103.4,36.6,0.9,0.7
488.4,398,538,90.4,49.6,0.9,0.7
313.4,217,357,96.4,43.6,1.0,0.7
266.6,164,304,102.6,37.4,0.9,0.7
307.2,192,332,115.2,24.8,0.8,0.7
306.8,177,317,129.8,10.2,0.6,0.7
235.6,79,219,156.6,-16.6,0.2,0.7
379.4,283,423,96.4,43.6,1.0,0.7
535.0,436,576,99.0,41.0,1.0,0.7
236.0,96,236,140.0,-0.0,0.4,0.7
399.4,331,471,68.4,71.6,0.6,0.7
389.6,318,458,71.6,68.4,0.6,0.7
307.8,198,338,109.8,30.2,0.8,0.7
403.0,331,471,72.0,68.0,0.6,0.7
536.0,441,581,95.0,45.0,1.0,0.7
401.2,340,480,61.2,78.8,0.5,0.7
381.0,280,420,101.0,39.0,1.0,0.7
234.2,111,251,123.2,16.8,0.7,0.7
378.4,281,421,97.4,42.6,1.0,0.7
231.4,62,202,169.4,-29.4,-0.0,0.7
487.2,380,520,107.2,32.8,0.9,0.7
389.2,292,432,97.2,42.8,1.0,0.7
259.8,145,285,114.8,25.2,0.8,0.7
517.2,417,557,100.2,39.8,1.0,0.7
234.2,101,241,133.2,6.8,0.5,0.7
310.2,201,341,109.2,30.8,0.8,0.7
342.0,245,385,97.0,43.0,1.0,0.7
232.2,52,192,180.2,-40.2,-0.1,0.7
484.6,329,469,155.6,-15.6,0.2,0.7
399.8,329,469,70.8,69.2,0.6,0.7
274.0,126,266,148.0,-8.0,0.3,0.7
233.6,99,239,134.6,5.4,0.5,0.7
517.2,425,565,92.2,47.8,0.9,0.7
539.2,481,621,58.2,81.8,0.4,0.7
309.4,224,364,85.4,54.6,0.8,0.7
268.4,164,304,104.4,35.6,0.9,0.7
540.6,503,643,37.6,102.4,0.2,0.7
541.6,502,642,39.6,100.4,0.2,0.7
231.8,85,225,146.8,-6.8,0.3,0.7
342.2,272,412,70.2,69.8,0.6,0.7
237.8,115,255,122.8,17.2,0.7,0.7
521.6,423,563,98.6,41.4,1.0,0.7
388.8,311,451,77.8,62.2,0.7,0.7
479.8,355,495,124.8,15.2,0.6,0.7
266.0,158,298,108.0,32.0,0.9,0.7
389.2,290,430,99.2,40.8,1.0,0.7
540.4,476,616,64.4,75.6,0.5,0.7
231.4,51,191,180.4,-40.4,-0.1,0.7
513.4,418,558,95.4,44.6,1.0,0.7
231.6,49,189,182.6,-42.6,-0.2,0.7
402.0,332,472,70.0,70.0,0.6,0.7
535.0,442,582,93.0,47.0,0.9,0.7
276.2,172,312,104.2,35.8,0.9,0.7
541.8,458,598,83.8,56.2,0.8,0.7
541.8,465,605,76.8,63.2,0.7,0.7
402.0,333,473,69.0,71.0,0.6,0.7
535.0,448,588,87.0,53.0,0.8,0.7
483.2,373,513,110.2,29.8,0.8,0.7
237.2,121,261,116.2,23.8,0.7,0.7
459.0,403,543,56.0,84.0,0.4,0.7
234.0,87,227,147.0,-7.0,0.3,0.7
309.2,219,359,90.2,49.8,0.9,0.7
259.8,144,284,115.8,24.2,0.8,0.7
266.8,168,308,98.8,41.2,1.0,0.7
229.0,57,197,172.0,-32.0,-0.0,0.7
228.4,40,180,188.4,-48.4,-0.3,0.7
341.8,274,414,67.8,72.2,0.6,0.7
341.8,247,387,94.8,45.2,1.0,0.7
268.0,156,296,112.0,28.0,0.8,0.7
542.2,491,631,51.2,88.8,0.3,0.7
484.0,383,523,101.0,39.0,1.0,0.7
356.0,275,415,81.0,59.0,0.8,0.7
516.6,413,553,103.6,36.4,0.9,0.7
482.2,348,488,134.2,5.8,0.5,0.7
230.2,45,185,185.2,-45.2,-0.2,0.7
517.0,412,552,105.0,35.0,0.9,0.7
342.0,263,403,79.0,61.0,0.7,0.7
389.2,316,456,73.2,66.8,0.7,0.7
233.2,46,186,187.2,-47.2,-0.2,0.7
543.4,488,628,55.4,84.6,0.4,0.7
233.6,98,238,135.6,4.4,0.5,0.7
389.2,308,448,81.2,58.8,0.8,0.7
513.4,416,556,97.4,42.6,1.0,0.7
234.0,97,237,137.0,3.0,0.5,0.7
519.0,336,476,183.0,-43.0,-0.2,0.7
399.2,336,476,63.2,76.8,0.5,0.7
533.8,441,581,92.8,47.2,0.9,0.7
487.0,393,533,94.0,46.0,0.9,0.7
541.0,493,633,48.0,92.0,0.3,0.7
339.6,167,307,172.6,-32.6,-0.0,0.7
269.8,167,307,102.8,37.2,0.9,0.7
235.4,118,258,117.4,22.6,0.7,0.7
341.8,249,389,92.8,47.2,0.9,0.7
542.0,462,602,80.0,60.0,0.8,0.7
232.6,43,183,189.6,-49.6,-0.3,0.7
230.6,35,175,195.6,-55.6,-0.4,0.7
238.4,31,171,207.4,-67.4,-0.5,0.7
399.4,343,483,56.4,83.6,0.4,0.7
274.0,125,265,149.0,-9.0,0.3,0.7
485.2,372,512,113.2,26.8,0.8,0.7
237.2,96,236,141.2,-1.2,0.4,0.7
259.4,143,283,116.4,23.6,0.7,0.7
341.8,260,400,81.8,58.2,0.8,0.7
537.0,432,572,105.0,35.0,0.9,0.7
267.2,159,299,108.2,31.8,0.9,0.7
237.2,103,243,134.2,5.8,0.5,0.7
232.2,61,201,171.2,-31.2,-0.0,0.7
231.2,42,182,189.2,-49.2,-0.3,0.7
238.0,97,237,141.0,-1.0,0.4,0.7
233.0,50,190,183.0,-43.0,-0.2,0.7
339.0,261,401,78.0,62.0,0.7,0.7
539.2,477,617,62.2,77.8,0.5,0.7
270.6,170,310,100.6,39.4,1.0,0.7
