Click_Y,Y_Top,Y_Bottom,Dist_Y_Top,Dist_Y_Bottom,Accuracy,Gap
484.0,366.0,506.0,118.0,22.0,0.4444,0.7
488.8,402.0,542.0,86.8,53.2,0.6888,0.7
399.8,344.0,484.0,55.8,84.2,-0.1722,0.7
399.8,344.0,484.0,55.8,84.2,-0.1722,0.7
311.2,219.0,359.0,92.2,47.8,0.8388,0.7
339.2,248.0,388.0,91.2,48.8,0.8112,0.7
534.4,430.0,570.0,104.4,35.6,0.8222,0.7
534.4,448.0,588.0,86.4,53.6,0.6778,0.7
231.6,52.0,192.0,179.6,-39.6,-1.2666,0.7
393.6,319.0,459.0,74.6,65.4,0.35,0.7
230.8,54.0,194.0,176.8,-36.8,-1.1888,0.7
228.6,45.0,185.0,183.6,-43.6,-1.3778,0.7
401.8,330.0,470.0,71.8,68.2,0.2722,0.7
233.0,73.0,213.0,160.0,-20.0,-0.7222,0.7
251.6,132.0,272.0,119.6,20.4,0.4,0.7
266.4,160.0,300.0,106.4,33.6,0.7666,0.7
532.2,447.0,587.0,85.2,54.8,0.6444,0.7
513.4,416.0,556.0,97.4,42.6,0.9834,0.7
309.0,205.0,345.0,104.0,36.0,0.8334,0.7
234.2,76.0,216.0,158.2,-18.2,-0.6722,0.7
484.8,364.0,504.0,120.8,19.2,0.3666,0.7
236.4,26.0,166.0,210.4,-70.4,-2.1222,0.7
389.2,314.0,454.0,75.2,64.8,0.3666,0.7
233.2,59.0,199.0,174.2,-34.2,-1.1166,0.7
309.8,180.0,320.0,129.8,10.2,0.1166,0.7
340.6,243.0,383.0,97.6,42.4,0.9888,0.7
309.8,218.0,358.0,91.8,48.2,0.8278,0.7
536.8,446.0,586.0,90.8,49.2,0.8,0.7
268.0,154.0,294.0,114.0,26.0,0.5556,0.7
307.2,176.0,316.0,131.2,8.8,0.0778,0.7
260.6,143.0,283.0,117.6,22.4,0.4556,0.7
392.4,304.0,444.0,88.4,51.6,0.7334,0.7
228.0,34.0,174.0,194.0,-54.0,-1.6666,0.7
313.4,222.0,362.0,91.4,48.6,0.8166,0.7
313.4,230.0,370.0,83.4,56.6,0.5944,0.7
483.6,372.0,512.0,111.6,28.4,0.6222,0.7
237.2,98.0,238.0,139.2,0.8,-0.1444,0.7
516.4,416.0,556.0,100.4,39.6,0.9334,0.7
485.6,377.0,517.0,108.6,31.4,0.7056,0.7
252.2,142.0,282.0,110.2,29.8,0.6612,0.7
232.2,39.0,179.0,193.2,-53.2,-1.6444,0.7
516.2,413.0,553.0,103.2,36.8,0.8556,0.7
485.4,386.0,526.0,99.4,40.6,0.9612,0.7
232.6,54.0,194.0,178.6,-38.6,-1.2388,0.7
310.0,180.0,320.0,130.0,10.0,0.1112,0.7
340.6,246.0,386.0,94.6,45.4,0.9056,0.7
540.8,478.0,618.0,62.8,77.2,0.0222,0.7
488.2,394.0,534.0,94.2,45.8,0.8944,0.7
542.2,460.0,600.0,82.2,57.8,0.5612,0.7
391.4,324.0,464.0,67.4,72.6,0.15,0.7
515.6,414.0,554.0,101.6,38.4,0.9,0.7
238.6,30.0,170.0,208.6,-68.6,-2.0722,0.7
542.2,500.0,640.0,42.2,97.8,-0.55,0.7
484.0,377.0,517.0,107.0,33.0,0.75,0.7
267.2,155.0,295.0,112.2,27.8,0.6056,0.7
237.2,110.0,250.0,127.2,12.8,0.1888,0.7
236.0,25.0,165.0,211.0,-71.0,-2.1388,0.7
